teamIDfg,Team,Season,AVG,OBP,SLG,RBI,batter_SO,batter_BB,batter_war,ERA,SV,K/9,WHIP,oppenent_avg,BABIP,pitcher_war,FP,run_diff,Win_Percentage
1,CAL,1970,0.251,0.309,0.363,598,922,447,21.3,3.48,49,5.67,1.26,0.233,0.255,8.9,0.98,1,0.5308641975308642
2,BAL,1970,0.257,0.344,0.401,748,952,717,36.9,3.15,31,5.73,1.21,0.235,0.26,20.4,0.981,218,0.6666666666666666
3,BOS,1970,0.262,0.335,0.428,743,855,594,27.6,3.9,44,6.24,1.37,0.248,0.277,17.9,0.974,64,0.5370370370370371
4,CHW,1970,0.253,0.315,0.362,587,872,477,2.7,4.56,30,4.79,1.48,0.274,0.293,10.5,0.974,-189,0.345679012345679
5,CLE,1970,0.249,0.314,0.394,617,909,503,13.8,3.91,35,6.67,1.39,0.242,0.275,14.2,0.979,-26,0.4691358024691358
6,DET,1970,0.238,0.322,0.374,619,825,656,9.3,4.09,39,6.5,1.43,0.255,0.289,15.8,0.978,-65,0.4876543209876543
7,KCR,1970,0.244,0.309,0.348,572,958,514,8.6,3.78,25,5.63,1.36,0.241,0.267,13.5,0.976,-94,0.4012345679012346
8,MIN,1970,0.262,0.327,0.403,694,905,501,25.6,3.23,58,5.84,1.25,0.24,0.268,21.5,0.98,139,0.6049382716049383
9,NYY,1970,0.251,0.324,0.365,627,808,588,22.5,3.25,49,4.75,1.25,0.245,0.264,15.0,0.98,68,0.5740740740740741
10,OAK,1970,0.249,0.325,0.392,630,977,584,27.9,3.3,40,5.35,1.24,0.23,0.251,12.2,0.977,85,0.5493827160493827
13,WAS,1970,0.238,0.321,0.358,583,989,635,20.3,3.8,40,5.08,1.36,0.247,0.268,9.3,0.982,-63,0.43209876543209874
16,ATL,1970,0.27,0.334,0.404,692,736,522,19.8,4.35,24,6.04,1.35,0.256,0.28,13.9,0.976,-36,0.4691358024691358
17,CHC,1970,0.259,0.333,0.415,761,844,607,17.1,3.76,25,6.27,1.31,0.251,0.283,27.1,0.978,127,0.5185185185185185
